KKUPL01,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,With Period Beginning Balance,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
1-50-C3026-3201011300-02-0000-0000-000000-000000-0-2567,,,มหาวิทยาลัยขอนแก่น-คณะทันตแพทยศาสตร์ \- โรงพย-โรงพยาบาลทันตกรรม-บัญชีทุนสำรองสะสม \- คณะทั-งบประมาณเงินรายได้-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2567,,,,0,1140352386.21,,0,1140352386.21,,0,0,,0,0,0,,1140352386.21,0,1140352386.21
,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,
Total for Account Segment,,3201011300.0,,,,902185404.31,,1140352386.21,0.0,,238166981.9000001,0.0,,0,0.0,,0,902185404.31,,1140352386.21,0,238166981.9000001
,,,,,,,,,,,,,,,,,,,,,, 
Account Segment,,,,,,3201011400 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year Beginning Balances,,,Net Beginning Balances,,,Prior Periods,,,Period Activity,,Ending Balances,,,Net Ending Balances,
Account,,,Account Description,,,,Debit,Credit,,Debit,Credit,,Debit,Credit,,Debit,Credit,Debit,,Credit,Debit,Credit
1-15-15001-3201011400-02-0000-0000-000000-000000-0-2567,,,มหาวิทยาลัยขอนแก่น-คณะเภสัชศาสตร์-หน่วยงานภายใต้คณะเภสัชศาส-บัญชีทุนสำรองสะสม \- คณะเภ-งบประมาณเงินรายได้-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2567,,,,0,114675132.78,,0,114675132.78,,0,0,,0,0,0,,114675132.78,0,114675132.78
,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,
Total for Account Segment,,3201011400.0,,,,0,,114675132.78,0.0,,114675132.78,0.0,,0,0.0,,0,0,,114675132.78,0,114675132.78
,,,,,,,,,,,,,,,,,,,,,, 
Account Segment,,,,,,3201011500 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year Beginning Balances,,,Net Beginning Balances,,,Prior Periods,,,Period Activity,,Ending Balances,,,Net Ending Balances,
Account,,,Account Description,,,,Debit,Credit,,Debit,Credit,,Debit,Credit,,Debit,Credit,Debit,,Credit,Debit,Credit
1-16-16001-3201011500-02-0000-0000-000000-000000-0-2567,,,มหาวิทยาลัยขอนแก่น-คณะเทคโนโลยี-หน่วยงานภายใต้คณะเทคโนโลย-บัญชีทุนสำรองสะสม \- คณะเท-งบประมาณเงินรายได้-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2567,,,,0,46513573.36,,0,46513573.36,,0,0,,0,0,0,,46513573.36,0,46513573.36
,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,
Total for Account Segment,,3201011500.0,,,,0,,46513573.36,0.0,,46513573.36,0.0,,0,0.0,,0,0,,46513573.36,0,46513573.36
,,,,,,,,,,,,,,,,,,,,,, 
Account Segment,,,,,,3201011600 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year Beginning Balances,,,Net Beginning Balances,,,Prior Periods,,,Period Activity,,Ending Balances,,,Net Ending Balances,
Account,,,Account Description,,,,Debit,Credit,,Debit,Credit,,Debit,Credit,,Debit,Credit,Debit,,Credit,Debit,Credit
